City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,saint-philippe,-21.3585,55.7679,20.77,82,13,0.51,RE,1696297262
159,severo-yeniseyskiy,60.3725,93.0408,0.32,98,100,2.68,RU,1696297348
160,arkalyk,50.2486,66.9114,7.57,62,0,3.52,KZ,1696297348
161,valday,57.9747,33.2525,6.69,86,97,1.79,RU,1696297348
162,yuzhno-kurilsk,44.0306,145.8556,14.65,74,66,9.66,RU,1696297348
163,grand-popo,6.2804,1.8225,26.0,87,7,3.84,BJ,1696297348
164,haapsalu,58.9431,23.5414,15.51,93,100,5.6,EE,1696297348
165,iskateley,67.6803,53.1512,3.9,78,62,9.39,RU,1696297274
166,anadyr,64.75,177.4833,4.28,55,0,6.71,RU,1696297348
167,cozumel,20.5083,-86.9458,29.41,91,40,2.24,MX,1696297089
168,tevriz,57.509,72.4042,9.99,69,100,4.06,RU,1696297349
169,iskushuban,10.2837,50.23,25.67,75,13,3.25,SO,1696297349
170,richards bay,-28.783,32.0377,17.29,64,0,7.38,ZA,1696297349
171,kapoeta,4.7717,33.5903,26.28,54,100,2.84,SS,1696297349
172,celestun,20.8667,-90.4,28.39,80,100,5.41,MX,1696297349
173,bredasdorp,-34.5322,20.0403,12.33,92,0,2.29,ZA,1696297252
174,mormugao,15.4,73.8,24.59,100,75,1.54,IN,1696297349
175,howard springs,-12.497,131.047,35.06,39,85,1.42,AU,1696297296
176,miri,4.4148,114.0089,30.08,79,40,1.03,MY,1696297350
177,vega de alatorre,20.0333,-96.6333,27.57,80,79,1.23,MX,1696297350
178,alibag,18.6411,72.8792,27.04,79,100,0.6,IN,1696297350
179,namibe,-15.1961,12.1522,18.08,90,37,2.36,AO,1696297350
180,gandorhun,7.5,-11.8333,22.99,99,100,1.01,SL,1696297350
181,la ronge,55.1001,-105.2842,7.14,93,100,3.09,CA,1696297299
182,maceio,-9.6658,-35.7353,21.69,100,0,1.54,BR,1696297207
183,anna regina,7.2644,-58.5077,28.35,78,100,4.98,GY,1696297350
184,mutuali,-14.8706,37.0044,20.19,71,1,1.54,MZ,1696297351
185,cento,44.726,11.2882,18.72,60,0,0.93,IT,1696297351
186,port lincoln,-34.7333,135.8667,15.27,56,73,8.83,AU,1696297351
187,hutchinson,38.0608,-97.9298,26.13,45,0,4.63,US,1696297237
188,east london,-33.0153,27.9116,19.82,48,0,3.27,ZA,1696297351
189,saipan,15.1355,145.701,31.39,74,40,7.2,MP,1696297351
190,port alfred,-33.5906,26.891,20.23,50,0,2.84,ZA,1696297239
191,guantanamo,20.1444,-75.2092,27.76,90,88,1.7,CU,1696297351
192,angleton,29.1694,-95.4319,28.02,69,0,0.0,US,1696297144
193,kenora,49.8167,-94.4337,23.54,64,20,3.09,CA,1696297302
194,qamdo,31.1667,97.2333,10.05,52,7,1.68,CN,1696297352
195,taulaga,-11.0553,-171.0883,27.96,77,30,7.06,AS,1696297352
196,luis correia,-2.8792,-41.6669,26.13,86,67,6.2,BR,1696297352
197,sambava,-14.2667,50.1667,22.39,84,11,1.97,MG,1696297352
198,mazatenango,14.5333,-91.5,25.62,97,99,1.45,GT,1696297352
199,lompoc,34.6391,-120.4579,20.08,84,40,11.62,US,1696297352
200,san andres,12.5847,-81.7006,28.01,89,20,0.0,CO,1696297144
201,tutoia,-2.7619,-42.2744,26.21,87,51,5.3,BR,1696297353
202,tarko-sale,64.9225,77.785,9.44,87,61,7.6,RU,1696297353
203,takoradi,4.8845,-1.7554,24.7,90,48,3.31,GH,1696297353
204,tsiombe,-25.3,45.4833,17.71,56,18,5.09,MG,1696297353
205,kapuskasing,49.4169,-82.4331,22.05,68,40,6.69,CA,1696297283
206,sitka,57.0531,-135.33,11.94,87,100,5.14,US,1696297353
207,constantia,44.1833,28.65,13.38,54,0,4.26,RO,1696297289
208,vila franca do campo,37.7167,-25.4333,20.23,99,25,4.73,PT,1696297354
209,pelabuhanratu,-6.9875,106.5514,28.68,62,100,2.15,ID,1696297354
210,kazanka,47.8462,32.8218,10.25,64,10,3.9,UA,1696297354
211,faya-largeau,17.9257,19.1043,27.02,35,14,14.59,TD,1696297354
212,vanimo,-2.6741,141.3028,28.39,68,100,3.73,PG,1696297354
213,yashiro,34.9167,134.9667,22.6,50,100,3.36,JP,1696297354
214,veinticinco de mayo,-35.4323,-60.1727,12.21,70,100,0.89,AR,1696297354
215,uliastay,47.7417,96.8444,3.93,64,4,0.39,MN,1696297355
216,krasnyy chikoy,50.3643,108.7512,3.46,62,55,0.89,RU,1696297355
217,lazarevskoye,43.9061,39.3331,18.25,66,31,3.68,RU,1696297165
218,igabi,10.7889,7.7749,20.69,95,100,1.75,NG,1696297355
219,qusmuryn,52.4503,64.6311,9.73,67,92,2.91,KZ,1696297355
220,fort bragg,35.139,-79.006,21.08,78,0,2.57,US,1696297288
221,avanigadda,16.0215,80.9181,27.75,85,100,2.56,IN,1696297355
222,hawaiian paradise park,19.5933,-154.9731,26.04,84,100,3.09,US,1696297355
223,mazyr,52.0495,29.2456,9.62,69,100,2.62,BY,1696297356
224,aykhal,66.0,111.5,-7.74,91,87,3.13,RU,1696297356
225,sao joao do piaui,-8.3581,-42.2467,26.17,27,5,1.65,BR,1696297356
226,al ghayzah,16.2079,52.176,24.87,82,1,1.57,YE,1696297356
227,tuapse,44.1125,39.0742,15.91,69,23,4.39,RU,1696297356
228,villa hayes,-25.0931,-57.5236,26.05,38,0,4.12,PY,1696297356
229,mount gambier,-37.8333,140.7667,14.13,70,65,6.05,AU,1696297185
230,hamilton,39.1834,-84.5333,23.0,75,0,0.0,US,1696297332
